title,unique_id,run_time,metascore,genres,month,year,description,director,stars,netflix_id
Incendies (2010),tt1255953,139,82,"Drama,Mystery,War",4,2011,"Twins journey to the Middle East to discover their family history, and fulfill their mother's last wishes.",Denis Villeneuve,"Lubna Azabal,Mélissa Désormeaux-Poulin,Maxim Gaudette,Mustafa Kamel",
Stake Land (2010),tt1464580,98,66,"Drama,Horror,Sci-Fi",4,2011,"Martin was a normal teenage boy before the country collapsed in an empty pit of economic and political disaster. A vampire epidemic has swept across what is left of the nation's abandoned towns and cities, and it's up to Mister, a death dealing, rogue vampire hunter, to get Martin safely north to Canada, the continent's New Eden.",Jim Mickle,"Connor Paolo,Nick Damici,Kelly McGillis,Gregory Jones",70153301
When Harry Tries to Marry (2011),tt1535110,93,35,"Comedy,Romance",4,2011,"An Indian-American guy surprises his family when he announces his desire for an arranged marriage with an Indian woman, though his affection for a longtime American friend complicates his plan.",Nayan Padrai,"Rahul Rai,Stefanie Estes,Freishia Bomanbehram,Osvaldo Hernandez",
Jing wu feng yun: Chen Zhen (2010),tt1456661,106,49,"Action,Drama,History",4,2011,"Seven years after the apparent death of Chen Zhen, who was shot after discovering who was responsible for his teacher's death (Huo Yuanjia) in Japanese-occupied Shanghai. A mysterious stranger arrives from overseas and befriends a local mafia boss. That man is a disguised Chen Zhen, who intends to infiltrate the mob when they form an alliance with the Japanese. Disguising himself as a caped fighter by night, Chen intends to take out everyone involved as well as get his hands on an assassination list prepared by the Japanese.",Wai-Keung Lau,"Donnie Yen,Alex Ahlstrom,Qi Shu,Anthony Chau-Sang Wong",
Fast Five (2011),tt1596343,131,67,"Action,Crime,Thriller",4,2011,Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent.,Justin Lin,"Vin Diesel,Paul Walker,Dwayne Johnson,Jordana Brewster",
Prom (2011),tt1604171,104,50,"Comedy,Drama",4,2011,A group of teenagers get ready for their high school prom.,Joe Nussbaum,"Aimee Teegarden,Thomas McDonell,DeVaughn Nixon,Danielle Campbell",
Hoodwinked Too! Hood vs. Evil (2011),tt0844993,86,20,"Animation,Comedy,Family",4,2011,"Red Riding Hood is training in the group of Sister Hoods, when she and the Wolf are called to examine the sudden mysterious disappearance of Hansel and Gretel.",Mike Disa,"Hayden Panettiere,Glenn Close,Patrick Warburton,Joan Cusack",
Cave of Forgotten Dreams (2010),tt1664894,90,86,"Documentary,History",4,2011,Werner Herzog gains exclusive access to film inside the Chauvet caves of Southern France and captures the oldest known pictorial creations of humanity.,Werner Herzog,"Werner Herzog,Jean Clottes,Julien Monney,Jean-Michel Geneste",
Dylan Dog: Dead of Night (2010),tt1013860,107,31,"Action,Comedy,Crime,Fantasy,Horror,Mystery,Sci-Fi,Thriller",4,2011,"The adventures of supernatural private investigator, Dylan Dog, who seeks out the monsters of the Louisiana bayou in his signature red shirt, black jacket, and blue jeans.",Kevin Munroe,"Brandon Routh,Anita Briem,Sam Huntington,Taye Diggs",
Jûsan-nin no shikaku (2010),tt1436045,141,87,"Action,Adventure,Drama",4,2011,A group of assassins come together for a suicide mission to kill an evil lord.,Takashi Miike,"Kôji Yakusho,Takayuki Yamada,Yûsuke Iseya,Ikki Sawamura",
Sympathy for Delicious (2010),tt1270277,96,44,Drama,4,2011,A newly paralyzed DJ gets more than he bargained for when he seeks out the world of faith healing.,Mark Ruffalo,"Christopher Thornton,Mark Ruffalo,Laura Linney,Juliette Lewis",
Der Räuber (2010),tt1339161,101,65,"Biography,Crime,Drama,Sport",4,2011,"Tells the true story of Johann Rettenberger, a marathon athlete who developed robbing banks as a hobby.",Benjamin Heisenberg,"Andreas Lust,Markus Schleinzer,Roman Kettner,Hannelore Klauber-Laursen",
Thor (2011),tt0800369,115,57,"Action,Adventure,Fantasy",5,2011,"The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.",Kenneth Branagh,"Chris Hemsworth,Anthony Hopkins,Natalie Portman,Tom Hiddleston",
Something Borrowed (2011),tt0491152,112,36,"Comedy,Drama,Romance",5,2011,"Friendships are tested and secrets come to the surface when terminally single Rachel falls for Dex, her best friend Darcy's fiancé.",Luke Greenfield,"Ginnifer Goodwin,Kate Hudson,Colin Egglesfield,John Krasinski",
Jumping the Broom (2011),tt1640484,112,56,"Comedy,Drama",5,2011,Two very different families converge on Martha's Vineyard one weekend for a wedding.,Salim Akil,"Paula Patton,Laz Alonso,Angela Bassett,Loretta Devine",
The Beaver (2011),tt1321860,91,60,Drama,5,2011,A troubled husband and executive adopts a beaver hand-puppet as his sole means of communicating.,Jodie Foster,"Mel Gibson,Jodie Foster,Anton Yelchin,Cherry Jones",
